name,class,VIP,ttest_p,utest_p,FC,fdr_adjust_ttest_p,bonferroni_adjust_utest_p,log2FoldChange,pvalue
LPE O-17:1,LPE,0.890406081,0.008200187,0.002175602,1.834553238,0.042655183,1,0.875428771,0.008200187
LPE 22:4,LPE,0.977642999,0.015058681,0.028904429,1.996576748,0.059464951,1,0.99752853,0.015058681
LPE O-16:2,LPE,1.223054908,0.019587366,0.028904429,1.784544056,0.070173867,1,0.835555518,0.019587366
LPE 16:1,LPE,1.249710919,0.023310178,0.042658104,1.826024093,0.076019473,1,0.868705801,0.023310178
LPE O-20:3,LPE,1.345728804,0.023492072,0.023901798,1.573615198,0.076281822,1,0.654082796,0.023492072
LPE 18:0,LPE,1.10985721,0.024580679,0.005905206,1.749738002,0.078303401,1,0.807138916,0.024580679
LPE 18:2,LPE,1.267324862,0.026749288,0.032123288,1.404143193,0.081837709,1,0.489690068,0.026749288
LPE 20:3,LPE,1.257408025,0.042483714,0.093861694,1.48019457,0.111014525,1,0.565786829,0.042483714
LPE O-20:0,LPE,1.157051796,0.042675334,0.04009324,1.331685594,0.111279985,1,0.413253508,0.042675334
MG 22:4,MG,0.786844279,0.046997882,0.093861694,1.778903658,0.119525477,1,0.830988379,0.046997882
NAE 18:3,NAE,1.166306692,0.00057873,0.0003108,3.069754532,0.010749948,0.384149184,1.618123298,0.00057873
NAE 18:2,NAE,1.364207652,0.000848026,0.002175602,2.503458444,0.013273348,1,1.323922508,0.000848026
NAE 20:5,NAE,1.383862411,0.001011911,0.006488264,2.067146147,0.014212756,1,1.047640391,0.001011911
NAE 20:3,NAE,0.989112654,0.005138272,0.001243201,1.848964845,0.034704391,1,0.886717794,0.005138272
NAE 18:0,NAE,1.138458841,0.005603327,0.001243201,2.486123016,0.036255954,1,1.313897684,0.005603327
NAE 13:0,NAE,1.431332277,0.008570659,0.120590521,14.81085302,0.043397598,1,3.888582828,0.008570659
NAE 20:1,NAE,1.379933258,0.009540778,0.009324009,2.823102148,0.045530508,1,1.497281331,0.009540778
NAE 18:1,NAE,1.048482075,0.010070112,0.003729604,1.992950937,0.047122515,1,0.994906194,0.010070112
NAE 22:4,NAE,1.075631282,0.027383334,0.054079254,2.430187373,0.082864004,1,1.281067553,0.027383334
NAE 20:4,NAE,1.21066228,0.028297405,0.054079254,1.41243563,0.084686665,1,0.49818512,0.028297405
NAE 14:0,NAE,1.21738514,0.034445201,0.093861694,2.193676105,0.0967597,1,1.133350528,0.034445201
NAE 22:5,NAE,1.169747902,0.038596277,0.020512821,4.310781651,0.104159386,1,2.107949489,0.038596277
